,headline,shortInformation,story
27,‘Not just phones or PCs’: Google’s Android successor Fuchsia OS focuses on cross-platform capabilities,"Google is said to replace Android with Fuchsia, a new operating system built from scratch. But what Google is really trying to achieve with the new OS? Android chief Lockheimer shares his vision. ","Google has finally broken silence on its Fuchsia OS, an experimental operating system said to succeed Android. At Google’s recently clouded I/O developer conference, Android chief Hiroshi Lockheimer disclosed some details about the much-awaited Fuchsia OS. As expected, Fuchsia OS will retain Android’s legacy of being open-source but the company’s focus isn’t just shifting millions of smartphones to the next operating system. According to Lockheimer, Google’s next OS will try to bring uniformity between all kind of devices ranging from phones, PCs to smart home devices. The Google executive also pointed out that the operating system is still in developmental phase. “We’re looking at what a new take on an operating system could be like. And so I know out there people are getting pretty excited saying, ‘Oh this is the new Android,’ or, ‘This is the new Chrome OS,’” Lockheimer told TheVerge. “Fuchsia is really not about that. Fuchsia is about just pushing the state of the art in terms of operating systems and things that we learn from Fuchsia we can incorporate into other products,” he added. ALSO READ: List of Android Q Beta 3 compatible phones, how to download,and more It’s probably the first time Google has officially detailed its upcoming operating system. Thus far, the elusive OS has always been spotted in excerpts of codes, prototype UIs and test devices. Last year, a Bloomberg report revealed that Fuchsia has been built from scratch and is part of Google’s bigger mission of overcoming limitations of Android. The company had also begun experimenting with Fuchsia OS apps featuring interactive screens and voice commands on YouTube. With smart home speakers and other Internet of Things devices becoming a hot market, Google cannot completely rely on Android to cover all kinds of products. The company is already grappling with a big fragmentation of its software which has compelled it to launch iterations like Android Go. So far, there’s no word on the availability of Fuchsia OS. It’s highly unlikely a reference device will be launched anytime sooner. Evidently, reports of Honor Play becoming first phone to run Fuchsia OS were not true.
First Published:
									May 10, 2019 16:52 IST
"
28,Nike uses AR to find you the perfect shoe size,"Nike will add a foot-scanning tool on its iOS app that will measure the length, width and other dimensions of customers’ feet after they point a smartphone camera to their toes.","Nike wants to meet your feet. The sneaker seller will add a foot-scanning tool on its iOS app this summer that will measure the length, width and other dimensions of customers’ feet after they point a smartphone camera to their toes. The feature called ‘Nike Fit’ will then tell shoppers what size to buy each of its shoes in, which Nike hopes will get you in the right fit and cut down on costly returns as it seeks to sell more of its goods through its websites and apps.But Nike will also get something it has never had before: a flood of data on the feet of regular people, a potential goldmine for the shoe maker, which says it will use the information to improve the design of its shoes. Nike mainly relies on the feet of star athletes to build its kicks.“Nikes will become better and better fitting shoes for you and everyone else,” says Michael Martin, who oversees Nike’s websites and apps.Nike won’t sell or share the data to other companies, Martin says. And he says shoppers don’t have to save the foot scans to their Nike accounts. But if they do, they’ll only have to scan their feet once and Nike’s apps, websites and stores will know your dimensions every time you need to buy sneakers. Workers at Nike stores will also be equipped with iPods to do the scanning, replacing those metal sizing contraptions.The challenging part for Nike is convincing people they need to measure their feet in the first place. Most think they already know what their shoe size is, says Brad Eckhart, who was an executive at shoe store chain Finish Line and is now a principal at retail consultancy Columbus Consulting,But Nike says it gets half a million complaints a year from customers related to fit and sizing. And it admits what many shoppers have already suspected: Each of its shoe styles fit differently, even if they are in the same size. A leather sneaker may be tighter and require a bigger size. Knit ones may be more forgiving. And shoelaces can throw everything off.Shoe size is “effectively a lie,” says Martin. “And it’s a lie that we’ve perpetuated.”Matt Powell, a sports industry analyst at NPD Group Inc., says the tool might be most valuable for people want to run or play basketball in their sneakers, since the wrong fit can cause injury. But Powell says most people buy sneakers just to walk around in.Still, finding the right size is a problem for shoppers: “There really is no industry standard for what is a size 10,” Powell says.
First Published:
									May 10, 2019 16:52 IST
"
29,"US adults are spending big on video games, playing mostly on smartphones: ESA report","Nearly 65% of US adults, or more than 164 million people, play games. The most popular genre is casual games, with 60% of players gaming on their smartphones, though about half also play on personal computers and specialised consoles.","The average American video gamer is 33 years old, prefers to play on their smartphone and is spending big on content -- 20% more than a year ago and 85% more than in 2015, a report showed on Thursday.The annual research from the Entertainment Software Association (ESA) comes as more American households rethink how to set limits for kids who love gaming and how to allocate their entertainment budgets in the streaming era.   The $43.4 billion spent in 2018 was mostly on content, as opposed to hardware and accessories. Of pay-to-play games, “Call of Duty: Black Ops III”, “Red Dead Redemption II” and “NBA 2K19” took the top spots for most units sold but the list did not include free games such as Fortnite.“Games are striking an important chord with American culture,” said Stanley Pierre-Louis, ESA’s acting president and chief executive officer. “That’s what makes it the leading form of entertainment today.”Nearly 65% of US adults, or more than 164 million people, play games. The most popular genre is casual games, with 60% of players gaming on their smartphones, though about half also play on personal computers and specialized consoles.Parents are limiting screen time for their kids and using video game ratings to screen content, and 87% of parents require permission for new game purchases, the study showed. Some 46% of all gamers are female, though they favor different kinds of games than men, particularly depending on age.Female gamers between 18 and 34 years old prefer “Candy Crush”, “Assassin’s Creed” and “Tomb Raider” and play most often on smartphones, while their male counterparts mostly play games on consoles, particularly “God of War”, “Madden NFL” and “Fortnite.”Gen Xers, who are 40 to 54 years old, lean towards “Tetris”, “Pac-Man”, “Call of Duty”, “Forza” and “NBA 2K.”Male baby boomers aged 55 to 64 like “Solitaire” and “Scrabble”, while women lean towards “Mahjong” and “Monopoly.”Game players were no more prone than other Americans to live isolated, sedentary lives, according to the report. Americans will soon have even more ways to play video games. Apple Inc is launching a game subscription service and Alphabet Inc’s Google announced a video game streaming service late this year.The new services will present challenges to established video game developers like Electronic Arts Inc, maker of “Apex Legends”; Tencent Holdings Ltd’s Riot Games, maker of “League of Legends”; Valve Corp, owner of “Counter-Strike” and the Steam distribution platform; and Activision Blizzard Inc, owner of “Call of Duty” and “Candy Crush.”Ipsos gathered data from more than 4,000 Americans to conduct the study for the ESA.
First Published:
									May 10, 2019 16:27 IST
"
30,"Amazon Echo smart speaker for kids violated privacy law, advocacy groups say","A complaint was filed to the FTC saying that Amazon’s Echo Dot Kids Edition infringes on children’s privacy rights. The company retains voice recordings indefinitely and, in some cases, holds onto their personal data even after users tried to delete it, according to the complaint.","A coalition of children’s advocacy organizations is asking US regulators to investigate whether Amazon.com Inc.’s Echo kids smart speaker violates privacy law.The Campaign for a Commercial-Free Childhood and the Center for Digital Democracy, joined by several other interest groups, plans to file a complaint Thursday with the Federal Trade Commission saying Amazon’s Echo Dot Kids Edition infringes on children’s privacy rights. The company retains voice recordings indefinitely and, in some cases, holds onto their personal data even after users tried to delete it, according to the complaint.Those practices violate the Children’s Online Privacy Protection Act, said Josh Golin, executive director of the CCFC.“Given that Amazon has the money to pay the best corporate privacy attorneys that money can buy, it seems really strange that this was done in such a way that it does violate COPPA in so many ways,” said Golin, who added that Amazon’s system “does feel like it was designed to confuse parents,” rather than protect their children’s privacy.In an emailed statement, an Amazon spokesperson said: “FreeTime on Alexa and Echo Dot Kids Edition are compliant with the Children’s Online Privacy Protection Act.” The company pointed customers to its Alexa website if they want more information.U.S. Senator Ed Markey, a Massachusetts Democrat who helped write COPPA, said in a letter to the FTC, joined by other senators, that the new findings raise “serious concerns about the extent to which the Echo Dot Kids Edition complies” with elements of the law.The CCFC was among the groups critical of Amazon a year ago when the Seattle company first released a kid-focused variant of its popular Echo smart speaker line.Encased in colourful rubber protectors, the hockey puck-sized devices come with Amazon’s Alexa voice software and features like parental controls and advertising-free radio stations. Also included is a year of Amazon’s FreeTime, a subscription service that offers a curated selection of kid-focused applications.The devices, the CCFC contended last year, invaded kids’ privacy and risked outsourcing elements of parenting to corporate-controlled software. Supported by a grant from the Rose Foundation, the Boston-based organization enlisted lawyers with Georgetown Law’s Institute for Public Representation to probe Amazon’s privacy practices.To read more:Thousands of Amazon Workers Are Listening to What You Tell AlexaAmazon’s Alexa Reviewers Can Access Customers’ Home AddressesThe lawyers say they uncovered several potential violations of COPPA, which was passed two decades ago and restricts how companies can use data collected from kids younger than 13.In the complaint, the groups say Amazon does not adequately verify that they have parental consent to begin collecting data and, afterward, provides inadequate disclosures on what personal information it collects and how Amazon and third parties use that data. Only 15% of the Alexa applications tailored for kids included a link to a privacy policy at all, the complaint says.The advocates also argue that a privacy feature designed to let parents delete elements of kids’ personal information did not seem to actually erase that knowledge from the software’s memory.Researchers tried deleting facts they’d previously asked Alexa to remember, as well as the software’s entire history of voice recordings, only to find Alexa could still recite a child’s phone number, address and other personal details on command. In their testing, the only way to actually erase all of the personal information scooped up about a specific child was to delete that child’s profile entirely.“We tried multiple ways, multiple time periods, to delete things, but it comes back anyhow,” said Angela Campbell, a professor of law and co-director of Georgetown Law’s institute. “There doesn’t seem to be any way other than discontinuing the service to stop that.”Amazon says most kid-friendly skills, or Alexa applications, don’t have privacy policies because they don’t collect personal information. Skills associated with FreeTime, the company says, don’t have access to or collect user’s data.The focus on Amazon is the latest effort by kids’ advocacy groups to push the FTC to scrutinize the privacy behaviors of big technology firms. Similar complaints with the regulator in the last year targeted Facebook Inc. and Alphabet Inc.’s Google.The FTC, the main federal agency charged with enforcing privacy law, declined to comment on a complaint it hadn’t received.Musical.ly, the popular teen video app now known as TikTok, earlier this year agreed to pay $5.7 million to settle claims that it illegally collected children’s personal information.“The FTC responds to pressure from Capitol Hill, and there is so much interest on Capitol Hill in regulating the big tech companies” Golin said. “We’re hopeful that in this changed climate they will take these incredibly serious violations by Amazon seriously.”
First Published:
									May 10, 2019 16:14 IST
"
31,Apple shipped 4.5 million iPhone XR units to North America in Q1 2019: Canalys Research,"The iPhone maker shipped 14.6 million devices in Q1 2019 in total, compared to 17.9 million devices shipped during Q1 2018. ","The iPhone XR was the most popular smartphone in North America during the first quarter (Q1) of 2019, with nearly 4.5 million units shipped, even as handset shipments declined 18% year-on-year (YoY), according to Canalys Research estimates.Smartphone shipments in North America plummeted to a five-year low of 36.4 million units, down from a record high of 44.4 million units shipped in Q1 2018.The iPhone maker shipped 14.6 million devices in Q1 2019 in total, compared to 17.9 million devices shipped during Q1 2018. “Apple’s fall in Q1 followed particularly high shipments of flagship iPhones in the previous quarter. But there was a disconnect between channel orders and consumer demand, which then caused early shipments in Q1 to be challenging for Apple,” Vincent Thielke, Analyst, Canalys Research, said in a statement.Despite the decline, the company managed to maintain 40% market share in North America, one of the regions where it sees strong performance. The next best was Samsung’s Galaxy S10+ and Galaxy S10e, which reached two million units, or 6%, each.“Samsung also benefited from carrier promotions in Q1, which used the Galaxy S10e as an incentive,” said Thielke.Samsung, with a 29.3% market share, shipped 10.7 million devices, LG 4.8 million devices and Lenovo shipped 2.4 million devices.
First Published:
									May 10, 2019 16:08 IST
"
32,"Asus Zenfone 6 to launch on May 16: Key specifications, features revealed","After Samsung and Google, Asus is getting ready for its next flagship phone, Zenfone 6. Here’s what to expect from the new Asus smartphone.","Asus is gearing up for its next big launch on May 16. The company has already announced it will unveil Zenfone 6, the latest flagship phone. The new phone will succeed the Asus Zenfone 5 line up which launched last year. Ahead of the official launch, Asus has revealed some key features of the smartphone. According to its latest tweet, Asus Zenfone 6 will run on Qualcomm’s Snapdragon 855 processor – the same chipset that powers phones like Samsung Galaxy S10 and other premium flagship phone. The teaser also reveals that Asus Zenfone 6 will retain headphone jack unlike several other brands that are skipping the port in favour of USB Type-C. It will also have a triple slot which means the phone will be able to house two SIM slots and microSD card together. Other features revealed are notification LED and smart key button. Keep the essentials. Come and join the livestream on May 16 2019 at 20:00 (CEST). #ZenFone6 #DefyOrdinaryLearn more: https://t.co/y3fiATPH71 pic.twitter.com/fJXefTldNV— ASUS (@ASUS) May 8, 2019Keep the essentials. Come and join the livestream on May 16 2019 at 20:00 (CEST). #ZenFone6 #DefyOrdinaryLearn more: https://t.co/y3fiATPH71 pic.twitter.com/fJXefTldNVZenfone 6 will be Asus’ first major smartphone launch this year. The company last year launched Asus Zenfone 5Z which competed with then OnePlus 6T. The 2018 Asus flagship phone comes with Qualcomm Snapdragon 845 processor, 3,300mAh battery, and a 6.2-inch full HD+ display. It also featured up to 8GB of RAM, Quick Charge 3.0 and AI charging support. It comes with a dual-camera setup consisting of 12-megapixel and 8-megapixel sensors. It has an 8-megapixel front-facing camera. The smartphone is currently available online for Rs 29,999 approximately.
First Published:
									May 10, 2019 16:00 IST
"
33,TSMC begins production of 5 nanometre chips: Report,TSMC’s new 5nm chipsets should offer 6-12% reduction in power consumption and 20% higher transistor density compared to the current 7nm process.,"The Taiwan Semiconductor Manufacturing Company, or TSMC, has begun risk production of 5 nanometre (nm) chipsets that would be featured in future super-efficient flagship smartphones and expects to be ready to begin mass production in the first half of 2020.“The mass production of the new standard is scheduled for 2020 if everything goes as planned. This process will introduce chips that will have up to 45 per cent area reduction, also bringing a performance gain up to 15 per cent compared to the current 7nm chipsets. “The new standard will also bring improvements in the architecture and should allow manufacturers to employ bigger batteries and some new technology in future smartphones,” Giz China reported on Friday.For chipsets coming out later this year, TSMC has the 7nm+ process ready. It should offer 6-12% reduction in power consumption and 20% higher transistor density compared to the current 7nm process. There is plenty of customers that are already looking forward to the new standard. Apple for example only has TSMC as its main supplier until 2020, the company will likely be responsible for the chips inside the newer 2019 iPhones, the report added.
First Published:
									May 10, 2019 15:50 IST
"
34,Facebook rejects co-founder call for company breakup,Facebook co-founder Chris Hughes called for the breakup of the company in three. Facebook is the biggest social network has more than 2 billion users globally.,"Facebook Inc quickly rejected a call from co-founder Chris Hughes on Thursday to split the world’s largest social media company in three, while lawmakers urged the US Justice Department to launch an antitrust investigation.Facebook has been under scrutiny from regulators around the world over data sharing practices as well as hate speech and misinformation on its networks. Some US lawmakers have pushed for action to break up big tech companies as well as federal privacy regulation. “We are a nation with a tradition of reining in monopolies, no matter how well intentioned the leaders of these companies may be. Mark’s power is unprecedented and un-American,” Hughes, a former college roommate of Facebook Chief Executive Mark Zuckerberg, wrote in a lengthy New York Times opinion piece.Facebook’s social network has more than 2 billion users. It also owns WhatsApp, Messenger and Instagram, each used by more than 1 billion people. Facebook bought Instagram in 2012 and WhatsApp in 2014. Facebook rejected Hughes’ call for WhatsApp and Instagram to be made into separate companies, and said the focus should instead be on regulating the internet. Zuckerberg will be in Paris on Friday to discuss internet regulation with French President Emmanuel Macron.“Facebook accepts that with success comes accountability. But you don’t enforce accountability by calling for the break up of a successful American company,” Facebook spokesman Nick Clegg said in a statement. “Accountability of tech companies can only be achieved through the painstaking introduction of new rules for the internet. That is exactly what Mark Zuckerberg has called for.”Late on Thursday, Senator Mike Crapo, the Republican who chairs the banking committee and Sherrod Brown, the top Democrat, asked Facebook to answer questions about a potential cryptocurrency-based payments system using its social network and its data collection.The letter also asked questions about consumer privacy protections and if it had information about users’ creditworthiness. US Senator Richard Blumenthal, a Democrat, told CNBC he thinks Facebook should be broken up and that the Justice Department’s antitrust division needs to begin an investigation.Antitrust law makes such a proposal tough to execute because the government would have to take the company to court and win. It is rare to break up a company but not unheard of, with Standard Oil and AT&T being the two biggest examples.SENSE OF RESPONSIBILITYHughes co-founded Facebook in 2004 at Harvard with Zuckerberg and Dustin Moskovitz. He left Facebook in 2007, and has said in a LinkedIn post he made half a billion dollars for his three years of work.“It’s been 15 years since I co-founded Facebook at Harvard, and I haven’t worked at the company in a decade. But I feel a sense of anger and responsibility,” Hughes said.Facebook lost several executives after a bruising series of privacy and disinformation scandals since 2016. The founders of Instagram and WhatsApp have left, as has the executive who took over WhatsApp last year.Chief Product Officer Chris Cox, who had been at the company for 13 years and was one of Zuckerberg’s closest lieutenants, stepped down in March around the same time Facebook announced a pivot towards more private messaging.He later cited “artistic differences” with Zuckerberg as his reason for leaving, without elaborating.Critics say the company’s pivot to privacy, which will introduce more encrypted communications, will restrict Facebook’s ability to police propaganda, hate speech and other abusive behaviour. Cox focused on improving tools to catch banned content in recent years.Despite its scandals, the company’s core business has proven resilient. Facebook has blown past earnings estimates in the past two quarters and its stock price barely budged in response to Hughes’ opinion piece.Hughes suggested Zuckerberg should be held responsible for privacy and other lapses at the company, echoing a call earlier this month by Democratic U.S. Senator Ron Wyden to hold the CEO individually liable for “repeated violations” of privacy.“The government must hold Mark accountable. For too long, lawmakers have marvelled at Facebook’s explosive growth and overlooked their responsibility to ensure that Americans are protected and markets are competitive,” Hughes said.LAWMAKER PRESSURE Senator Elizabeth Warren, who is seeking the Democratic nomination for the 2020 presidential election, has vowed to break up Facebook, Amazon.com Inc and Alphabet Inc’s Google if elected. “Today’s big tech companies have too much power—over our economy, our society, & our democracy. They’ve bulldozed competition, used our private info for profit, hurt small businesses & stifled innovation. It’s time to #BreakUpBigTech,” Warren said on Twitter on Thursday. Representative Ro Khanna, a California Democrat, said in a statement he agreed in retrospect that US regulators should not have approved Facebook’s acquisition of Instagram and WhatsApp.“The way forward is to heavily scrutinize future mergers and to ensure no company has anti-competitive platform privileges,” Khanna said. In one of a number of scandals to hit the company, Facebook is accused of inappropriately sharing information belonging to 87 million users with the now-defunct British political consulting firm Cambridge Analytica.Facebook has been in advanced talks with the US Federal Trade Commission to settle a year-old investigation and said last month it expected to spend between $3 billion and $5 billion.On Monday, Republican and Democratic US senators criticized reported plans for the settlement, calling on the FTC to impose harsher penalties and more restrictions on Facebook’s business practices.Hughes said he last met with Zuckerberg in the summer of 2017, several months before the Cambridge Analytica scandal broke.“Mark is a good, kind person. But I’m angry that his focus on growth led him to sacrifice security and civility for clicks,” Hughes said. Adam Mosseri, Facebook’s previous head of news feed who recently took over Instagram, responded to Hughes on Twitter.“Regulation is important and necessary, but I’m not convinced breaking us up is the right path. Would love to chat about it if you’re open,” Mosseri said.
First Published:
									May 10, 2019 15:35 IST
"
35,Samsung Galaxy Fold to get new launch date after ‘foldgate’ controversy,Samsung Galaxy Fold was earlier scheduled to go on sale on April 26 in the US. ,"Samsung’s first foldable smartphone Galaxy Fold will get a new launch date soon. The foldable smartphone’s launch was stalled due to issues in its screen.According to a report by Korea Herald, Samsung’s CEO Koh Dong-jin said that the company will soon announce a rescheduled plan for the launch of its Galaxy Fold smartphone in the US as soon as the screen issues are resolved.Just two days back, the company said it cannot confirm the shipping date for its foldable device yet and apologised to its pre-order customers in the United States for the delay. Galaxy Fold was scheduled to go on sale in the US on April 26.Prior to the sale, Samsung handed out review units of the Galaxy Fold to journalists. Within just a few day’s use many reviewers reported that the main screen started to crack and some even broke. Koh said that the defect was caused by substances that entered the device. Samsung also later said that the Galaxy Fold comes with a protective layer which shouldn’t be removed. However, some units broke even with the protective layer on.Samsung had earlier said it plans to make at least 1 million Galaxy Fold handsets in the first year. The company also closed pre-orders for the Galaxy Fold earlier due to “high demand”, Reuters reported.Samsung Galaxy Fold specificationsSamsung Galaxy Fold has a 4.6-inch HD+ Super AMOLED display up front which opens up to a bigger 7.3-inch QXGA+ Dynamic AMOLED screen. The foldable phone is powered by a 7nm processor paired with 12GB of RAM. For photography, Galaxy Fold offers six cameras in total. There’s a triple camera setup on the outside featuring a 16-megapixel ultra-wide sensor, 12-megapixel wide-angle camera, and 12-megapixel telephoto lens. It has two front cameras on the inside featuring a 10-megapixel and 8-megapixel RGB sensor with f/1.9 aperture.Galaxy Fold packs a 4,380mAh battery with Wireless PowerShare technology. On the software front, it runs on Android 9 Pie out-of-the-box.
First Published:
									May 10, 2019 13:58 IST
"
36,"OnePlus 7 Pro’s vibration engine to be ‘200% stronger’ than OnePlus 6T, confirms Pete Lau",OnePlus 7 Pro users will also be able to personalise vibration intensity. ,"Vibration motors are one of the most important features of any smartphone. Weaker the motors, higher the chances of you missing calls and texts. OnePlus phones have long grappled with this issue. In fact there’s an entire Reddit thread on OnePlus’ weak vibration motors. Well, OnePlus is finally fixing this problem with its OnePlus 7 Pro. OnePlus CEO Pete Lau in an interview to CNET said that OnePlus 7 Pro’s vibration engine is 200% stronger than its predecessors. He also said that OnePlus 7 Pro will allow users to personalise vibration settings for notifications. Users will be able to choose between “light”, “medium”, and “strong.” One can even further personalise the vibration intensity for different tasks such as keyboard. “We are constantly listening to feedback from the community on what features and characteristics they would like to see implemented on OnePlus phones. Their feedback helps us focus on certain features,” Lau said. “Our team had to rethink the internal design of the OnePlus 7 Pro, to fit inside the body without increasing the thickness of the device, which could lead to a less ergonomic feel. At the same time, we had to ensure that the haptic motor was in the right position so that the haptics would be strong, yet even across the device,” he added. OnePlus 7 Pro will launch alongside OnePlus 7 in India on May 14. Ahead of the launch, OnePlus has already confirmed some of the features of its new premium smartphone. The latest OnePlus phone will sport a triple rear camera setup along with a notch-less screen. It will use a pop-up front-facing camera for selfies. The company has also teamed up with Netflix and National Geographic to promote the camera capabilities of OnePlus 7 Pro. OnePlus 7 Pro recently bagged DisplayMate’s A+ rating promising better colour accuracy, brightness, contract accuracy or pixel density. The phone will also be compatible with high resolution streaming on apps like Amazon Prime and Netflix. OnePlus said users will be able to personalise colour gamut and colour temperature on the phone. 
First Published:
									May 10, 2019 13:28 IST
"
37,"Google releases 53 gender fluid emojis, coming first to Pixel phones",The new emojis will be available for Google Pixel smartphones starting this week. It will eventually be available for Android Q smartphones later this year.,"To bring in gender-neutrality in conversations, Google has released 53 gender fluid emojis to its Android catalogue.As reported by Fast Company, Google realised the lack of gender-neutral symbols in texting and decided to add 53 updated, gender-ambiguous emojis. The new emojis will be available for Google Pixel smartphones starting this week. It will eventually be available for Android Q smartphones later this year.In the new set of emojis, Google has added new characters, changed some and also added gender-neutral versions of existing one. Some of the new gender-neutral emojis include weightlifter, swimmer, zombies, and more. Google’s new approach to gender fluid emojis is in line with this year’s Emoji 12.0 which has major representation for gender-neutral characters, and disabled people. Emoji 12.0 comes with gender fluid emojis for deaf people, person standing, kneeling, holding hands and more. It also comes with gender neutral couple holding hands.
First Published:
									May 10, 2019 13:07 IST
"
38,"‘Google will never sell any personal info to third parties’, says Sundar Pichai",The CEO of Google said he believed that privacy was “one of the most important topics of our time.”,"Google will never sell any personal information of its users to third parties, CEO Sundar Pichai has said, amidst growing global concern over the misuse of personal data by some social media giants.In an opinion piece Tuesday in The New York Times, he also said that privacy cannot be a “luxury good” that is only available to people who can afford to buy premium products and services.The 46-year-old Indian-origin CEO of Google said he believed that privacy was “one of the most important topics of our time.”  People today are rightly concerned about how their information is used and shared, yet they all define privacy in their own ways, he said.   “To make privacy real, we give you clear, meaningful choices around your data. All while staying true to two unequivocal policies: that Google will never sell any personal information to third parties; and that you get to decide how your information is used,” Pichai said.Pichai said he has seen this first-hand as he talked to people in different parts of the world.   “To the families using the internet through a shared device, privacy might mean privacy from one another. To the small-business owner who wants to start accepting credit card payments, privacy means keeping customer data secure. To the teenager sharing selfies, privacy could mean the ability to delete that data in the future,” Pichai said.He noted that privacy was personal, which makes it even more vital for companies to give people clear, individual choices around how their data is used.He said legislation will help companies like Google to work toward ensuring that privacy protections are available to more people around the world.   “But we’re not waiting for it. We have a responsibility to lead. And we’ll do so in the same spirit we always have, by offering products that make privacy a reality for everyone,” Pichai said.Ideally, privacy legislation would require all businesses to accept responsibility for the impact of their data processing in a way that creates consistent and universal protections for individuals and society as a whole, he said.Google has worked hard to continually earn people’s trust by providing accurate answers and keeping their questions private, he added. “We’ve stayed focused on the products and features that make privacy a reality — for everyone,” he said in the opinion piece.“For everyone” is a core philosophy for Google; it’s built into our mission to create products that are universally accessible and useful. That’s why Search works the same for everyone, whether you’re a professor at Harvard or a student in rural Indonesia,” he said.“Our mission compels us to take the same approach to privacy. For us, that means privacy cannot be a luxury good offered only to people who can afford to buy premium products and services. Privacy must be equally available to everyone in the world,” Pichai underlined.He noted that even in cases where Google offered a paid product like YouTube Premium, which includes an ads-free experience, the regular version of YouTube has plenty of privacy controls built in. Pichai recalled that last week, Google announced significant new privacy features, including one-click access to privacy settings from all its major products and auto-delete controls that allows one to choose how long the person  want data to be saved.   “And to protect your data from security threats, we just introduced a security key built into Android phones that can provide two-factor authentication,” he said.In the future, Aritificial Intelligence (AI) will provide even more ways to make products more helpful with less data.   With increased spending on digital advertising, Google and Facebook have become forces to reckon with as millions of users, especially from emerging markets like India, go online.But multiple instances of data breaches and user information leaks have brought increased scrutiny on many platforms from regulators and governments across the globe. These companies are now walking a tightrope as they attempt to balance user privacy with increased accountability as governments seek greater disclosures and controls over digital platforms.
First Published:
									May 10, 2019 12:40 IST
"
39,Realme X specs suggest it could be the true Redmi Note 7 Pro rival,Realme X is set to launch in China on May 15 along with Realme X Youth.,"Realme launched ‘Realme 3 Pro’ to compete with Xiaomi’s Redmi Note 7 Pro smartphone. Realme 3 Pro did take on Redmi Note 7 in some departments such as performance and selfie camera. But apart from that Realme 3 Pro just came out as an upgraded version of Realme 3. With Realme X, the company finally has the chance to outshine the rival.As pointed out in our review as well, Realme 3 Pro’s camera didn’t really surpass Redmi Note 7 Pro’s. Realme X is expected to fix this with 48-megapixel camera with Sony IMX586 sensor – exactly the same sensor that runs on Xiaomi’s Redmi Note 7 Pro. Realme is also stepping up the design game with notch-less 6.5-inch full HD+ edge-to-edge screen with a pop-up selfie camera. The phone is likely to come with 48-megapixel and 5-megapixel sensors on the back and 16-megapixel selfie camera. For performance, it will rely on an octa-core processor clocked at 2.2GHz with 4GB RAM and 64GB built-in storage. Another differentiator will be the in-screen fingerprint sensor – which is exclusive to few premium smartphones such as OnePlus 6T. Xiaomi Redmi Note 7 doesn’t have this feature. Xiaomi’s Redmi Note 7 Pro comes with 48-megapixel rear camera, Qualcomm Snapdragon 675 processor, 6.3-inch full HD+ dot notch display, Corning Gorilla Glass 5, Type-C Port, 4,000mAh battery, and up to 6GB of RAM.Xiaomi, however, is already working on an improved Redmi phone, dubbed as Redmi X. The phone is confirmed to run on Qualcomm’s Snapdragon 855 processor. It is also expected to come with a pop-up selfie camera, 8GB of RAM and 128GB of onboard storage. The smartphone could feature a 6.39-inch full HD+ display and feature a triple-rear camera setup. 
First Published:
									May 10, 2019 12:19 IST
"
40,BTS World: Here’s how to pre-register for the K-Pop group’s official mobile game,BTS World is a story-based simulation game where players will be able to have a one-on-one virtual interaction with their favourite BTS member.,"BTS fans are in for a treat as pre-registrations for the mobile game ‘BST World’ is now live. For those of you living under a rock, BTS (Bangtan Boys or Bangtan Sonyeondan) is a seven-member K-Pop boy group who are currently a global phenomenon.Developed by Netmarble, BTS World is a story-based simulation game entailing the entire journey of the K-Pop group since their debut. Pre-registrations for BTS World is now open to everyone and interested users can go ahead and sign up through this link. The game will be available for both iOS and Android users. “BTS WORLD was developed with the players in mind from the very beginning. Not only do they get to experience something entirely different, but they’re also getting access to a tremendous amount of new and exciting content we created with BTS specifically for the game,” said Seungwon Lee, Chief Global Officer of Netmarble.Netmarble is the second-biggest shareholder of Big Hit Entertainment, BTS’ agency. According to a Venture Beat report, Netmarble spent $190 million to acquire  a 25.71% stake in Big Hit Entertainment.저희를 데뷔시켜주실 매니저님을 찾습니다!We’re looking for a manager who will help us debut!(https://t.co/dcxh0Wugpx)#BTSWORLD #BTS월드 #사전등록 #Pre_Register_NowFULL Ver.(https://t.co/YC45QnY0uJ) pic.twitter.com/d5slhwVDvs— BTS WORLD Official (@BTSW_official) May 10, 2019저희를 데뷔시켜주실 매니저님을 찾습니다!We’re looking for a manager who will help us debut!(https://t.co/dcxh0Wugpx)#BTSWORLD #BTS월드 #사전등록 #Pre_Register_NowFULL Ver.(https://t.co/YC45QnY0uJ) pic.twitter.com/d5slhwVDvsBTS fans will also get access to 10,000 exclusive new photos and 100 video clips of the group members. BTS features seven members better known as RM, Suga, Jin, Jimin, J-Hope, Jungkook and V. What’s more, players will be able to have a one-on-one virtual interaction with their favourite BTS member. The global release date for BTS World is yet to be announced. For now, players can enjoy what the pre-registration site for BTS World has to offer. Here, players will get an introduction to the game, a BTS story and also a special sneak peek. There’s a mini game where players can choose to be a BTS manager and get paired with the member they match with. The pre-registration site will also give players a first look at BTS WORLD, including a game introduction, a BTS story, and “From BTS” – a special sneak peek of the game’s “mobile function” that lets players interact virtually with group members. In addition, the site will feature a mini game, pairing players with the member they match with best as a manager through a short series of questions.
First Published:
									May 10, 2019 12:15 IST
"
